no,kode_pos,kode_wilayah,prov_code,kab_code,kec_code,desa_code,full_code,is_kelurahan,is_desa,desa,kecamatan,dt2,kabupaten,provinsi,source_page
49928,77455,65.03.19.2022,65,03,19,2022,6503192022,0,1,Pa' Mering (Pa Mering),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49929,77455,65.03.19.2001,65,03,19,2001,6503192001,0,1,Pa' Mulak (Pa Mulak),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49930,77455,65.03.19.2023,65,03,19,2023,6503192023,0,1,Pa' Pani (Pa Pani),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49931,77455,65.03.19.2015,65,03,19,2015,6503192015,0,1,Pa' Payak (Pa Payak),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49932,77455,65.03.19.2016,65,03,19,2016,6503192016,0,1,Pa' Pirit (Pa Pirit),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49933,77455,65.03.19.2011,65,03,19,2011,6503192011,0,1,Pa' Urud (Pa Urud),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49948,77456,65.03.05.2036,65,03,05,2036,6503052036,0,1,Pa' Api (Pa Api),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49949,77456,65.03.05.2048,65,03,05,2048,6503052048,0,1,Pa' Matung (Pa Matung),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49950,77456,65.03.05.2031,65,03,05,2031,6503052031,0,1,Pa' Nado (Pa Nado),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49951,77456,65.03.05.2002,65,03,05,2002,6503052002,0,1,Pa' Padi (Pa Padi),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49952,77456,65.03.05.2065,65,03,05,2065,6503052065,0,1,Pa' Putuk (Pa Putuk),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49953,77456,65.03.05.2029,65,03,05,2029,6503052029,0,1,Pa' Rupai (Pa Rupai),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49954,77456,65.03.05.2037,65,03,05,2037,6503052037,0,1,Pa' Sire (Pa Sire),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49955,77456,65.03.05.2049,65,03,05,2049,6503052049,0,1,Pa' Terutun (Pa Terutun),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49956,77456,65.03.05.2047,65,03,05,2047,6503052047,0,1,Wa' Laya (Wa Laya),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49957,77456,65.03.05.2038,65,03,05,2038,6503052038,0,1,Wa' Yanud (Wa Yanud),Krayan,Kabupaten,Nunukan,Kalimantan Utara,249
49175,93675,74.10.05.2011,74,10,05,2011,7410052011,0,1,E'erinere,Kulisusu Utara,Kabupaten,Buton Utara,Sulawesi Tenggara,245
49182,93675,74.10.05.2006,74,10,05,2006,7410052006,0,1,Petetea'a (Peteteaa),Kulisusu Utara,Kabupaten,Buton Utara,Sulawesi Tenggara,245
51303,85563,53.02.19.2007,53,02,19,2007,5302192007,0,1,Se'i (Sei),Kolbano,Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),256
51346,69155,35.26.10.2011,35,26,10,2011,3526102011,0,1,Manoan (Mano'an),Kokop,Kabupaten,Bangkalan,Jawa Timur,256
50983,85576,53.02.20.2001,53,02,20,2001,5302202001,0,1,Kot'olin (Kot Olin),Kot Olin,Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),254
50986,85576,53.02.20.2008,53,02,20,2008,5302202008,0,1,O'obibi (O Obibi),Kot Olin,Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),254
51568,23771,11.01.02.2018,11,01,02,2018,1101022018,0,1,Pasi Kuala Ba'u (Pasi Kuala Bau),Kluet Utara,Kabupaten,Aceh Selatan,Aceh (NAD),257
52208,85575,53.02.10.2004,53,02,10,2004,5302102004,0,1,Belle,"KI'E (Kie, Ki'e)",Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),261
52209,85575,53.02.10.2006,53,02,10,2006,5302102006,0,1,Boti,"KI'E (Kie, Ki'e)",Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),261
52210,85575,53.02.10.2011,53,02,10,2011,5302102011,0,1,Eno Napi (Enonapi),"KI'E (Kie, Ki'e)",Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),261
52211,85575,53.02.10.2002,53,02,10,2002,5302102002,0,1,Falas (Fallas),"KI'E (Kie, Ki'e)",Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),261
52212,85575,53.02.10.2012,53,02,10,2012,5302102012,0,1,Fatukusi,"KI'E (Kie, Ki'e)",Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),261
52213,85575,53.02.10.2007,53,02,10,2007,5302102007,0,1,Fatuulan,"KI'E (Kie, Ki'e)",Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),261
52214,85575,53.02.10.2013,53,02,10,2013,5302102013,0,1,Naile'u,"KI'E (Kie, Ki'e)",Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),261
